Naïve RL,Naïve RL,Naïve RL,Dimension RL,Dimension RL,Dimension RL,Rule-based Naïve RL,Rule-based Naïve RL,Rule-based Naïve RL,Dimension RL + Info,Dimension RL + Info,Dimension RL + Info,Dimension RL + Info,Dimension RL + Decay (by Beta),,,,Dimension RL + Decay (by Info),,,
alpha,beta,init_v,alpha,beta,init_v,alpha,beta,init_v,alpha,beta,init_v,info,alpha,beta,init_v,decay,alpha,init_v,decay ,info
0.07,7.58,0,0.01,8.65,0.04,0.05,9.27,0.24,0.29,1.65,0.68,0.86,0.05,12.2,0.33,0.1,0.03,0.1,0.22,11.4
0.11,3.69,0,0.03,3.81,0.55,0.05,4.4,0.46,0.35,2.48,0,0.59,0.03,5.89,1,0.04,0.03,0.38,0.1,5.5
0.09,3.99,0,0.05,3.93,0.22,0.05,6.58,0.6,0.05,3.92,0.22,0,0.33,4.68,0.62,0.18,0.03,0.08,0.11,5.11
0.15,4.1,0,0.03,3.83,0,0.12,4.22,0.19,0.03,3.81,0,0.01,0.09,4.33,0.01,0.06,0.11,0.19,0.19,3.87
0.37,3.37,0,0.04,4.28,0.26,0,50,0.09,0.05,4.32,0.1,0,0.08,7.59,1,0.1,0.04,0.37,0.18,7.37
0.23,4.16,0,0.1,3.07,0.7,0.26,3.81,0.31,0.1,3.09,0.67,0,0.13,5.3,1,0.13,0.04,0.9,0.26,5.6
0.15,4.29,0,0.06,4.29,1,0,50,0.06,0,50,0.04,0,0.04,7.78,1,0.04,0.03,0.51,0.09,7.49
0.13,5.53,0,0.05,4.14,0.23,0.08,5.45,0.34,0.05,4.14,0.22,0,0.09,7.65,0.29,0.11,0.03,0.07,0.19,7.25
0.04,7.01,0,0.01,9.69,0.08,0.02,11.89,0.22,0.11,3.29,0,0,0.01,8.84,0.12,0.01,0.01,0.03,0.02,7.28
0.17,4.43,0,0.03,4.6,0.09,0.16,4.58,0.37,0.03,4.6,0.01,0.01,0.05,7.26,0.16,0.05,0.02,0.03,0.1,7.6
0.33,3.73,0,0.17,3.2,0.23,0.32,3.36,0.41,0.18,3.2,0,0,0.29,4.93,0.32,0.23,0.06,0.17,0.31,5.34
0.06,5.71,0,0.01,12.04,0.01,0.02,12.97,0.3,0.01,12.04,0.01,0,0.03,11.44,0.08,0.05,0.02,0.02,0.09,10.79
0,17.18,0,0.13,2.27,0,0,50,0.03,0,1.47,1,1.53,0.04,6.6,0.7,0.08,0.03,0.27,0.15,5.5
,,,,,,,,,,,,,,,,,,,,
0.146153846,5.751538462,0,0.055384615,5.215384615,0.262307692,0.086923077,16.65615385,0.278461538,0.096153846,7.539230769,0.226923077,0.230769231,0.096923077,7.268461538,0.51,0.090769231,0.036923077,0.24,0.154615385,6.930769231
0.104553149,3.528368213,0,0.047331139,2.835854546,0.295612893,0.098635663,18.49307211,0.158106398,0.107527346,12.51009467,0.32230861,0.458802145,0.096267625,2.348930513,0.375704467,0.059155797,0.023982242,0.24242366,0.077023012,2.096229074